"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"BrightArc University - App Adoption","Lift weekly active users by 18%","premium segment","Faster, easier, in-app exclusive perks.","social and email","To be confirmed by CMO","Sep 3, 2026 - 6 week flight","Installs: target 105,049; D7 retention >= 23%; by end of quarter.","FERPA-aligned data handling; no student PII in third-party platforms."
"Wayfare DACH - Seasonal Promo #2","Lift conversion rate by 7% vs. prior season baseline","Loyalty members with 1+ booking in last 24 months, Nordics","Black Friday is here - shop the edit.","Influencer, Email","Per-channel budget missing","rolling","Incremental revenue: target $1,640,739, ROAS >= 7.6, over 30 days.","Avoid stacking with seasonal sale; cap combined discount at agreed max. Do not reference unannounced roadmap items. Landing page must load under 2.5s on 4G."
"RetailNext World Q2 2027 - Event Reg Push","Hit 21% RSVP-to-attend conversion","Practitioners and decision-makers in target verticals, EMEA","Save your seat at InsureCon.","PR, Paid Social (LinkedIn), Webinar, Email","$75,000 (media only)","Feb 3, 2026 - 2 week flight","Registrations: target 7,978; show-up rate >= 56%; over 30 days.","Do not reference unannounced roadmap items."
"Vaulted NA - Lead Gen","Generate 10,731 MQLs at CPL under $147","First-time investors aged 25-40 in Germany (EU coverage)","See why leading teams choose GlideFi - book a 20-minute demo.","Influencer, Paid Social (Meta), In-app","$100,000 incl. agency fees","Jun 26, 2026 - 4 week flight","SQL conversion: baseline 1.8%, target 7.7%, within 90 days post-launch.","All claims must be reviewed by Compliance and Legal before publication. UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Maintain accessibility: WCAG 2.1 AA for all digital assets. No animated GIFs in email; static hero only."
"DataPilot EU - Cross-sell Drive","Attach a second product to 20% of single-product customers","IT decision-makers at mid-market firms (US), Healthtech verticals","One account, more value.","performance marketing","$50,000 total","Oct 19, 2026 - 3 week flight","Attach rate: baseline 2.3%, target 6.1%, by end of quarter.","Maintain accessibility: WCAG 2.1 AA for all digital assets."
"BoxBloom MENA - Awareness","Reach 6,120,694 unique impressions in target segment","VIP tier customers (top 10% LTV), Nordics","Bundlr: built for what's next.","Paid Social (Meta), Email, Push Notifications, Affiliate, SMS","$29,000","Nov 23, 2026 - 10 week flight","Aided awareness lift: baseline 38%, target +8 pts, over 60 days.","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. Subject lines under 50 characters; no emojis in B2B sends."
"Beacon Life Nordics - Upsell Wave","Upsell 6,549 customers to a higher tier","high-value customers","You're getting more from Truecover than ever - here's how to get even more.","Radio, Direct Mail, Email, Paid Search, Display","$360,000 excl. production","Aug 17, 2027 - 3 week flight","ARPU lift: baseline $73, target +8.8%, by end of quarter.","State-specific disclosures required; suppress non-licensed states. All copy must use inclusive language per brand DEI guidelines. Landing page must load under 2.5s on 4G."
"GlideFi Q2 2026 - Launch","Acquire 224,898 new users within the launch window","First-time investors aged 25-40 in Germany","Stackr is here. Get ahead from day one.","Influencer, Paid Search","$200,000","Jan 24, 2027 - 10 week flight","New sign-ups: target 12,856 over 30 days; CPA <= $177.","No misleading earnings or returns language. Adhere to brand voice guidelines v3.2; primary palette only."
"Wellpath Summer - Awareness","Reach 903,809 unique impressions in target segment","Patients overdue for annual wellness visit, Australia","Meet OakClinic Network - a smarter way to grow revenue.","Direct Mail, Paid Search, Display, PR","$440,000 total","Jul 9, 2026 - 2 week flight","ROAS target 7.0","FDA fair-balance language required for any branded therapy mention. Tone: confident, helpful, never alarmist. No animated GIFs in email; static hero only."
"Quanta Strategy - Awareness #2","Lift unaided brand awareness by 18 points","General Counsel and CFOs at mid-market firms, Australia","Northbeam Consulting: built for what's next.","PR, Email, Content Syndication, Webinar, Paid Social (LinkedIn)","$135,000 total","Nov 8, 2026 - 12 week flight","Reduce CPA","Landing page must load under 2.5s on 4G."
"Anchor National 2027 - Event Reg Push #2","Hit 6% RSVP-to-attend conversion","Mass-affluent customers aged 30-44 with $50K-$250K deposits, Benelux","Register now - early bird pricing ends soon.","Display, Programmatic","$580,000 incl. agency fees","Oct 24, 2027 - 12 week flight","Registrations: target 1,800; show-up rate >= 48%; within 90 days post-launch.","All offers must include APR/APY disclosures and FDIC member language. Localization required for non-English markets; transcreation, not direct translation."
"Helix Advisory 2026 - App Adoption","Lift weekly active users by 5%","HR leaders at companies with 500-5000 employees, US","Faster, easier, in-app exclusive perks.","social and email","$145,000 total","Mar 16, 2027 - 3 week flight","Installs: target 212,611; D7 retention >= 35%; over 30 days.","Mobile-first creative required; desktop is secondary."
"Stackr Cyber Monday - App Adoption","Move the needle on conversions this quarter","Gig workers aged 35-54 in UK tier-1 cities","Faster, easier, in-app exclusive perks.","Paid Search, Influencer","$190,000 total","Jul 26, 2026 - 4 week flight","Installs: target 197,059; D7 retention >= 20%; within 90 days post-launch.","No misleading earnings or returns language."
"Helix Advisory - Win-Back #2","Win back 21,472 lapsed customers","General Counsel and CFOs at mid-market firms, Germany","Your spot is still here. Welcome back.","paid media","TBD","Jan 7, 2027 - 2 week flight","Reactivation rate: baseline 2.7%, target 6.7%, over 30 days.","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization."
"Pulse Primary 2027 - Win-Back","Win back 27,939 lapsed customers","Caregivers aged 40-65 of aging parents, Canada","We've missed you - here's 25% off your next order.","Display, Paid Search, Direct Mail","$47,000 (media only)","Apr 10, 2026 - 3 week flight","Reactivation rate: baseline 1.6%, target 7.4%, over 60 days.","HIPAA compliance required; no PHI in creative or targeting data. All copy must use inclusive language per brand DEI guidelines. No animated GIFs in email; static hero only."
"BoxBloom - Renewal Drive #2","Build awareness and momentum","First-time site visitors from paid social, US (EU coverage)","Don't lose access - renew before Sep 2.","Paid Social (Meta), SMS","$115,000","Oct 19, 2027 - 2 week flight","Gross renewal rate: baseline 81.3%, target 86.7%, within 90 days post-launch.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Do not run alongside sitewide free-shipping promo without finance sign-off."
"DevForge Live 2027 - Event Reg Push","Register 16,884 attendees","Practitioners and decision-makers in target verticals, Japan (EU coverage)","Register now - early bird pricing ends soon.","paid media","$180,000 excl. production","May 5, 2026 - 12 week flight","Registrations: target 13,269; show-up rate >= 62%; over 60 days.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Tone: confident, helpful, never alarmist."
"OakClinic Network v3 - Cross-sell Drive","Drive more revenue from this audience","Caregivers aged 40-65 of aging parents, Japan","You already love Pulse Primary. Here's the perfect companion.","Paid Search, PR, Email","$475,000 incl. agency fees","Mar 21, 2027 - 3 week flight","Attach rate: baseline 1.3%, target 6.8%, over 60 days.","HIPAA compliance required; no PHI in creative or targeting data. Adhere to brand voice guidelines v3.2; primary palette only."
"BrightArc University - Lead Gen #3","Deliver 403 SQLs to the sales team","Working professionals aged 18-54 considering a career change, Singapore","See why leading teams choose Edulane - book a 20-minute demo.","online","$175,000 excl. production","summer push","Reduce CPA","Follow brand guidelines."
"Stackr Q2 2026 - Seasonal Promo","Drive $2,017,249 in incremental revenue during the promo window","First-time investors aged 25-40 in Mexico","Our biggest Black Friday event yet.","Email, Paid Social (Meta), Influencer, In-app, Paid Search","$150,000 (media only)","before holiday season","Conversion rate target 4.8%","All claims must be reviewed by Compliance and Legal before publication. Do not run alongside sitewide free-shipping promo without finance sign-off. Use approved product photography only; lifestyle imagery requires brand review."
"LearnRise Academy v8 - Awareness","Drive more revenue from this audience","Alumni aged 25-45 of partner universities, Australia","Cohort Hub: built for what's next.","Email, YouTube, Paid Social (Meta), Paid Search","$33,000 (media only)","Oct 14, 2026 - 6 week flight","Aided awareness lift: baseline 45%, target +6 pts, by end of quarter.","FERPA-aligned data handling; no student PII in third-party platforms. Use approved product photography only; lifestyle imagery requires brand review."
"Apex Legal MENA - Win-Back","Reactivate 9% of customers dormant for 6+ months","HR leaders at companies with 500-5000 employees, India","Your spot is still here. Welcome back.","PR, Webinar, Content Syndication, Email, Paid Social (LinkedIn)","$110,000 (media only)","Apr 27, 2026 - 8 week flight","Reactivation rate: baseline 1.3%, target 14.9%, over the campaign flight.","Do not reference unannounced roadmap items."
"Edulane Global - Event Reg Push","Grow the business in the target segment","Working professionals aged 40-70 considering a career change, Mexico","FutureStack Conference: where the industry connects.","Email, Paid Search, Paid Social (Meta)","To be confirmed by CMO","Feb 16, 2026 - 3 week flight","Hit 7,736 sign-ups","Standard legal review."
"GlideFi 2026 - Cross-sell Drive #2","Cross-sell 34,920 eligible customers","Active app users with 30+ day inactivity, Canada","Bundle and save - smarter together.","Paid Search, Influencer, In-app, Email, Push Notifications","$42,000 (media only)","Jul 27, 2027 - 8 week flight","Attach rate: baseline 1.5%, target 11.8%, over the campaign flight.","No misleading earnings or returns language. UK/EU: lawful basis must be documented; suppress contacts without marketing consent."
"Glide Cruises EMEA - Awareness","Lift unaided brand awareness by 13 points","Couples aged 25-34 with HHI $100K+, India","Meet TerraNomad - a smarter way to delight customers.","Email, Paid Search, Paid Social (Meta), Influencer","To be confirmed by CMO","Mar 28, 2027 - 8 week flight","Conversion rate target 10.2%","No animated GIFs in email; static hero only."
"Cohort Hub US - Trial Conversion Push","Convert 18,595 active trial users to paid plans","High school juniors and parents in Canada","Ready when you are: pick the plan that fits.","Paid Search, YouTube, Email, Webinar","$43,000","Sep 16, 2026 - 8 week flight","Trial-to-paid conversion: baseline 2.3%, target 8.3%, by end of quarter.","Title IV compliance review required for any financial-aid messaging. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Adhere to brand voice guidelines v3.2; primary palette only."
"InsureCon - Lead Gen","Generate 3,723 MQLs at CPL under $126","millennials","Find out what GrowthSummit can do for your business.","Organic Social, Webinar, Paid Social (LinkedIn)","TBD","Jan 23, 2026 - 12 week flight","Baseline 4.7%, improve over time","Hero creative must feature flagship product, not bundled SKUs."
"FitFuel Q1 2027 - Awareness","Increase engagement and pipeline","Annual plan subscribers approaching renewal, Mexico","The brand professionals trust.","social","Not specified","Feb 20, 2026 - 12 week flight","Conversion rate target 10.4%",""
"GrowthSummit Q4 2026 - Retention Sprint","Reduce monthly churn from 7.5% to 2.8%","Speakers, sponsors, and partner network contacts, EMEA","Thank you for being a customer - here's something special.","PR, Webinar, Email, Paid Social (LinkedIn), Organic Social","$88,000","TBD","Hit 5,929 sign-ups","Video assets capped at 15s for social, 30s for CTV."
"Vaulted 2026 - Cross-sell Drive","Cross-sell 40,709 eligible customers","our customer base","Bundle and save - smarter together.","Influencer, Email","Pending finance approval","Mar 13, 2027 - 12 week flight","Attach rate: baseline 1.3%, target 7.5%, over 30 days.","TBD with Legal."
"Stackr - Cross-sell Drive","Drive more revenue from this audience","Gig workers aged 25-70 in UK tier-1 cities","Bundle and save - smarter together.","digital","$215,000 total","Jul 8, 2026 - 4 week flight","Improve CTR vs. last campaign","No misleading earnings or returns language. Adhere to brand voice guidelines v3.2; primary palette only."
"BoxBloom Spring - Win-Back","Win back 28,539 lapsed customers","First-time site visitors from paid social, France","Your spot is still here. Welcome back.","Email, SMS, Paid Search, Push Notifications","$210,000 excl. production","Nov 28, 2026 - 3 week flight","Reactivation rate: baseline 1.1%, target 3.2%, over 30 days.","Exclude high-AOV segments from blanket discounts. No competitor logos or comparison claims in paid creative."
"CareNova - Lead Gen","Deliver 632 SQLs to the sales team","Adults aged 30-54 with chronic condition flags, APAC","Get the playbook trusted by 500+ teams.","performance marketing","$605,000","post-launch window","MQLs: target 8,380, CPL <= $309, measured over 30 days.","HIPAA compliance required; no PHI in creative or targeting data. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. All copy must use inclusive language per brand DEI guidelines. No animated GIFs in email; static hero only."
"GlideFi v8 - Launch","Generate 4,028 qualified sign-ups in the first 60 days","Gig workers aged 45-64 in Canada tier-1 cities","Introducing the next generation of Stackr - faster, smarter, built for your team.","digital","$375,000","Sep 23, 2026 - 2 week flight","Adoption rate: baseline 1.6%, target 6.5%, measured over the campaign flight.","All claims must be reviewed by Compliance and Legal before publication. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. No competitor logos or comparison claims in paid creative. Landing page must load under 2.5s on 4G."
"Glide Cruises 2026 - Awareness","Lift unaided brand awareness by 3 points","Couples aged 30-44 with HHI $100K+, APAC","AzureTrails: built for what's next.","Email, Display, Connected TV, Influencer","$63,000 excl. production","Oct 16, 2026 - 8 week flight","ROAS target 7.5","Use approved product photography only; lifestyle imagery requires brand review."
"Sterling Federal 2027 - Win-Back","Win back 28,268 lapsed customers","lapsed buyers","Your spot is still here. Welcome back.","Email, Direct Mail, Programmatic, Display, Paid Search","Use available Q-end funds","Jul 23, 2027 - 8 week flight","Reduce CPA","Reg Z and UDAAP review required prior to launch. Localization required for non-English markets; transcreation, not direct translation."
"Beacon Life Q1 2027 - Cross-sell Drive","Attach a second product to 50% of single-product customers","Auto policyholders approaching renewal, aged 30-70, Nordics","One account, more value.","online","$745,000 total","Jan 4, 2026 - 8 week flight","Attach rate: baseline 2.0%, target 9.4%, over 60 days.","State-specific disclosures required; suppress non-licensed states. No competitor logos or comparison claims in paid creative."
"Pulse Primary - Launch","Generate 4,676 qualified sign-ups in the first 60 days","millennials","Meet Wellpath: everything you loved, reimagined.","paid media","To be confirmed by CMO","before holiday season","Baseline 1.8%, improve over time","HIPAA compliance required; no PHI in creative or targeting data. DACH market: double opt-in for email; no purchased lists."
"RetailNext World Q1 2026 - Event Reg Push","Hit 25% RSVP-to-attend conversion","existing users","GrowthSummit: where the industry connects.","social","$84,000 incl. agency fees","Nov 26, 2027 - 10 week flight","Improve CTR vs. last campaign","Subject lines under 50 characters; no emojis in B2B sends."
"Pulse Primary v2 - Upsell Wave","Lift ARPU by 8% across the existing book of business","Adults aged 30-34 with chronic condition flags, Mexico (EU coverage)","You're getting more from Wellpath than ever - here's how to get even more.","digital","$715,000 (media only)","Jan 7, 2026 - 8 week flight","Conversion rate target 7.4%","FDA fair-balance language required for any branded therapy mention. Localization required for non-English markets; transcreation, not direct translation."
"Coastline Apparel ANZ - Retention Sprint","Improve 90-day retention by 12 percentage points","general consumers","Here's what's new, just for you.","Paid Social (Meta), Display, Influencer, SMS, Connected TV","$120,000 (media only)","Jan 10, 2027 - 3 week flight","Monthly churn: baseline 1.3%, target 0.8%, over the campaign flight.","Do not stack with member 20% offer; cap discount at 30% MSRP. Tone: confident, helpful, never alarmist."
"Hearth&Home Box v9 - Awareness","Lift unaided brand awareness by 57 points","Annual plan subscribers approaching renewal, Singapore","Meet Hearth&Home Box - a smarter way to reduce risk.","paid media","Pending finance approval","post-launch window","Improve CTR vs. last campaign","No competitor logos or comparison claims in paid creative."
"Beacon AI 2026 - Trial Conversion Push #2","Convert 11,704 active trial users to paid plans","CFOs at SMBs with $10M-$100M revenue in Japan","Don't lose what you've built - upgrade today and keep your momentum.","paid media","$175,000","Jul 6, 2026 - 10 week flight","Trial-to-paid conversion: baseline 2.8%, target 21.8%, over 60 days.","Tone: confident, helpful, never alarmist."
"Pulse Primary - Awareness #2","Lift unaided brand awareness by 12 points","Patients overdue for annual wellness visit, India","The brand professionals trust.","Paid Search, Direct Mail","$525,000 excl. production","Sep 7, 2027 - 4 week flight","Aided awareness lift: baseline 37%, target +7 pts, by end of quarter.","HIPAA compliance required; no PHI in creative or targeting data. Do not reference unannounced roadmap items."
"TerraNomad Nordics - App Adoption","Lift weekly active users by 11%","Loyalty members with 1+ booking in last 24 months, Germany","Faster, easier, in-app exclusive perks.","Display, Email","$265,000 total","Mar 22, 2026 - 12 week flight","Conversion rate target 17.0%","Use approved product photography only; lifestyle imagery requires brand review. Video assets capped at 15s for social, 30s for CTV."
"Hearth&Home Box Fall - Trial Conversion Push","Increase engagement and pipeline","Subscribers paused in last 90 days, US","Ready when you are: pick the plan that fits.","Paid Social (Meta), Influencer, In-app, Push Notifications, Email","$345,000 total","Sep 7, 2027 - 10 week flight","Trial-to-paid conversion: baseline 2.2%, target 14.7%, over the campaign flight.","No competitor logos or comparison claims in paid creative."
"BoxBloom v6 - Seasonal Promo","Drive $2,052,165 in incremental revenue during the promo window","millennials","Our biggest Black Friday event yet.","Affiliate, Display, SMS","$325,000","Feb 8, 2026 - 12 week flight","Incremental revenue: target $732,694, ROAS >= 6.1, by end of quarter.","DACH market: double opt-in for email; no purchased lists. Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. CEO and executive quotes require Comms approval."
"NorthBridge Bank EMEA - Renewal Drive","Renew 9,024 expiring contracts this cycle","Small business banking customers with <$5M annual revenue, APAC","Renew today and lock in your current rate.","Paid Search, Display, Direct Mail","$290,000 total","May 24, 2026 - 2 week flight","Gross renewal rate: baseline 81.9%, target 89.7%, over 30 days.","No targeting on protected class attributes (ECOA/Reg B). Video assets capped at 15s for social, 30s for CTV."
"Quanta Strategy Spring - Lead Gen","Generate 4,191 MQLs at CPL under $190","HR leaders at companies with 500-5000 employees, Japan","Get the playbook trusted by 500+ teams.","Content Syndication, Email","$125,000 incl. agency fees","Mar 27, 2026 - 3 week flight","MQLs: target 6,069, CPL <= $160, measured within 90 days post-launch.","Use approved product photography only; lifestyle imagery requires brand review."
"Wayfare Q4 2026 - Event Reg Push","Register 3,415 attendees","Loyalty members with 1+ booking in last 24 months, APAC","Save your seat at DevForge Live.","email and ads","$17,500 incl. agency fees","Feb 8, 2026 - 2 week flight","ROAS target 7.4","Suppress recently booked travelers to avoid post-purchase regret refunds. All copy must use inclusive language per brand DEI guidelines. No animated GIFs in email; static hero only."
"Lumen+ v7 - App Adoption","Lift weekly active users by 14%","Trial users in day 7-14 of free trial, APAC (EU coverage)","Your account, in your pocket.","In-app, Push Notifications","$340,000 (media only)","Jul 5, 2026 - 3 week flight","Installs: target 232,411; D7 retention >= 28%; over 60 days.","DACH market: double opt-in for email; no purchased lists. Mobile-first creative required; desktop is secondary."
"BrightArc University Q2 2026 - Renewal Drive","Achieve 99% gross renewal rate","Working professionals aged 21-64 considering a career change, Brazil (EU coverage)","Don't lose access - renew before Jun 6.","email and ads","$175,000 excl. production","Sep 24, 2026 - 2 week flight","Gross renewal rate: baseline 82.6%, target 88.5%, over 60 days.","Outcome claims (placement, salary) must include cohort source citation. Adhere to brand voice guidelines v3.2; primary palette only."
"Northbeam Consulting Tax Season - App Adoption","Drive 470,451 new app installs","HR leaders at companies with 500-5000 employees, India (EU coverage)","Faster, easier, in-app exclusive perks.","Email, Webinar","Not specified","May 11, 2026 - 4 week flight","Baseline 2.2%, improve over time","DACH market: double opt-in for email; no purchased lists. Maintain accessibility: WCAG 2.1 AA for all digital assets."
"Wayfare Global - Retention Sprint","Reduce monthly churn from 5.5% to 2.8%","Couples aged 35-54 with HHI $100K+, APAC","Here's what's new, just for you.","paid media","Limited budget","Q3 launch","Monthly churn: baseline 2.1%, target 1.3%, over the campaign flight.","Avoid stacking with seasonal sale; cap combined discount at agreed max. Adhere to brand voice guidelines v3.2; primary palette only. Mobile-first creative required; desktop is secondary."
"FlowOps Black Friday - App Adoption","Lift weekly active users by 24%","Marketing operations managers at B2B SaaS companies, Australia (EU coverage)","Get more done on the go - download the app.","Email, Paid Social (LinkedIn), Webinar, Account-Based Marketing","$49,000 total","Jan 16, 2027 - 12 week flight","Installs: target 245,241; D7 retention >= 30%; over 60 days.","Tone: confident, helpful, never alarmist."
"Stackr Q1 2026 - Awareness","Reach 4,193,517 unique impressions in target segment","Active app users with 30+ day inactivity, EMEA","MintRail: built for what's next.","Influencer, Paid Social (Meta)","$155,000 total","Sep 23, 2026 - 10 week flight","Aided awareness lift: baseline 48%, target +4 pts, within 90 days post-launch.","All claims must be reviewed by Compliance and Legal before publication."
"Apex Legal EU - App Adoption","Drive 406,629 new app installs","HR leaders at companies with 500-5000 employees, Brazil","Get more done on the go - download the app.","Paid Social (LinkedIn), Content Syndication","$64,000","Apr 11, 2026 - 6 week flight","Installs: target 243,468; D7 retention >= 21%; over the campaign flight.","All copy must use inclusive language per brand DEI guidelines."
"Forge Platform 2026 - Upsell Wave","Upsell 19,126 customers to a higher tier","digital-first audience","You're getting more from Quanta Reports than ever - here's how to get even more.","Content Syndication, Email, Account-Based Marketing, Paid Social (LinkedIn)","$165,000 incl. agency fees","Sep 28, 2026 - 2 week flight","Baseline 2.4%, improve over time","Use approved product photography only; lifestyle imagery requires brand review."
"Forge Platform 2026 - Launch","Generate 4,438 qualified sign-ups in the first 60 days","Marketing operations managers at B2B SaaS companies, Nordics","Meet Apex Workspace: everything you loved, reimagined.","Email, Paid Search","$52,000 excl. production","Oct 28, 2027 - 3 week flight","New sign-ups: target 4,344 within 90 days post-launch; CPA <= $285.","Adhere to brand voice guidelines v3.2; primary palette only. Subject lines under 50 characters; no emojis in B2B sends."
"Quanta Reports Q1 2026 - Launch","Generate 2,752 qualified sign-ups in the first 60 days","CFOs at SMBs with $10M-$100M revenue in Brazil","Meet VaultIQ: everything you loved, reimagined.","Webinar, Email, Paid Search, Paid Social (LinkedIn)","$75,000 total","Oct 28, 2026 - 4 week flight","Adoption rate: baseline 4.2%, target 21.0%, measured by end of quarter.","Tone: confident, helpful, never alarmist."
"Forge Accounting - Lead Gen","Deliver 2,000 SQLs to the sales team","Founders of pre-Series A startups, APAC","Find out what Quanta Strategy can do for your business.","Email, Content Syndication","$145,000","Nov 7, 2027 - 8 week flight","SQL conversion: baseline 2.8%, target 18.9%, over 30 days.","Adhere to brand voice guidelines v3.2; primary palette only."
"Skyloft Hotels MENA - Upsell Wave","Upsell 12,134 customers to a higher tier","Business travelers aged 30-55, Australia","You're getting more from TerraNomad than ever - here's how to get even more.","Paid Social (Meta), Email, Influencer","$115,000 total","Jul 10, 2026 - 12 week flight","Conversion rate target 6.1%","Suppress recently booked travelers to avoid post-purchase regret refunds. Use approved product photography only; lifestyle imagery requires brand review. No animated GIFs in email; static hero only."
"FitFuel Fall - Retention Sprint","Grow the business in the target segment","Annual plan subscribers approaching renewal, India (EU coverage)","Stay with us and get more of what you love.","Email, In-app","$96,000 total","summer push","Monthly churn: baseline 2.9%, target 1.7%, over 60 days.","DACH market: double opt-in for email; no purchased lists. CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
"Voyage&Co Cyber Monday - Awareness","Lift unaided brand awareness by 13 points","Couples aged 18-54 with HHI $100K+, Canada","Wayfare: built for what's next.","Paid Social (Meta), Connected TV, Email","$27,000","Sep 19, 2027 - 6 week flight","Aided awareness lift: baseline 49%, target +7 pts, over 60 days.","Hero creative must feature flagship product, not bundled SKUs."
"CareNova - Lead Gen #2","Generate 2,421 MQLs at CPL under $231","Adults aged 18-34 with chronic condition flags, Australia","Find out what VivaHealth can do for your business.","Display, Direct Mail, Email, PR","$225,000 total","Apr 16, 2026 - 2 week flight","SQL conversion: baseline 1.8%, target 3.5%, by end of quarter.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. UK/EU: lawful basis must be documented; suppress contacts without marketing consent. All copy must use inclusive language per brand DEI guidelines."
"AuroraWear Q4 2026 - Seasonal Promo","Drive $2,783,853 in incremental revenue during the promo window","Gen Z shoppers aged 18-26 in Germany metros","Limited time: save big this Holiday.","performance marketing","$340,000 (media only)","Oct 13, 2026 - 4 week flight","ROAS target 6.2","Avoid overlap with concurrent storewide promo; suppress full-price loyalists from discount creative. Do not reference unannounced roadmap items. Mobile-first creative required; desktop is secondary."
"Wayfare v8 - Upsell Wave","Lift ARPU by 4% across the existing book of business","Business travelers aged 30-55, US","Unlock advanced capabilities built for power users.","social and email","$10,000 incl. agency fees","Jul 17, 2026 - 2 week flight","ARPU lift: baseline $182, target +8.6%, over 60 days.","Suppress recently booked travelers to avoid post-purchase regret refunds. Hero creative must feature flagship product, not bundled SKUs. Video assets capped at 15s for social, 30s for CTV."
"FlowOps Winter - Cross-sell Drive","Support the broader GTM motion","IT decision-makers at mid-market firms (Brazil), SaaS verticals","You already love Apex Workspace. Here's the perfect companion.","performance marketing","$88,000 excl. production","rolling","Reduce CPA","Follow brand guidelines."
"RetailNext World Back-to-School - Event Reg Push","Register 14,259 attendees","high-value customers","Register now - early bird pricing ends soon.","Webinar, PR","$8,500 incl. agency fees","Jan 18, 2026 - 2 week flight","Conversion rate target 10.4%","TBD with Legal."
"Insight Cloud - Upsell Wave","Lift ARPU by 82% across the existing book of business","CFOs at SMBs with $10M-$100M revenue in Australia (EU coverage)","Ready for the next tier? Here's what's waiting.","email and ads","TBD","Mar 25, 2026 - 12 week flight","Improve CTR vs. last campaign","DACH market: double opt-in for email; no purchased lists. Mobile-first creative required; desktop is secondary."
"BrewBox v8 - Launch","Generate 2,897 qualified sign-ups in the first 60 days","Subscribers paused in last 90 days, France (EU coverage)","PageNest is here. Get ahead from day one.","In-app, Push Notifications, Email","$110,000 incl. agency fees","Sep 22, 2026 - 8 week flight","Hit 2,691 sign-ups","Tone: confident, helpful, never alarmist."
"Halcyon Beauty Global - Awareness","Lift unaided brand awareness by 8 points","Gen Z shoppers aged 18-26 in Brazil metros","Meet NorthPeak - a smarter way to stay compliant.","SMS, Connected TV, Display, Email, OOH","$440,000","rolling","Aided awareness lift: baseline 33%, target +9 pts, within 90 days post-launch.","Margin floor 35%; exclude clearance SKUs from promotion. Use approved product photography only; lifestyle imagery requires brand review."
"Beacon Life Q1 2026 - Loyalty Boost","Grow the business in the target segment","Homeowners aged 35-65 without umbrella coverage, Mexico (EU coverage)","Members earn more. Join today.","Direct Mail, Display, Paid Search, Email","$605,000 total","Jun 15, 2026 - 12 week flight","Program enrollment: target +6.6% vs. baseline, over 30 days.","State-specific disclosures required; suppress non-licensed states. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Members-only pricing must remain materially better than public promo."
"VaultIQ Q1 2026 - Seasonal Promo","Drive $1,116,508 in incremental revenue during the promo window","CFOs at SMBs with $10M-$100M revenue in France","Back-to-School is here - shop the edit.","Webinar, Paid Search, Account-Based Marketing, Email","$90,000 total","TBD","Incremental revenue: target $1,925,227, ROAS >= 2.9, over the campaign flight.","Localization required for non-English markets; transcreation, not direct translation."
"Quanta Reports UK - Launch","Move the needle on conversions this quarter","IT decision-makers at mid-market firms (Mexico), Healthtech verticals","Introducing the next generation of Insight Cloud - faster, smarter, built for your team.","Content Syndication, Paid Social (LinkedIn), Paid Search","To be confirmed by CMO","before holiday season","New sign-ups: target 7,739 over the campaign flight; CPA <= $77.","Follow brand guidelines."
"Wellpath Q4 2026 - App Adoption","Drive 158,283 new app installs","existing users","Faster, easier, in-app exclusive perks.","Paid Search, Direct Mail, PR, Email, Display","$88,000 (media only)","Jul 7, 2026 - 10 week flight","Installs: target 95,476; D7 retention >= 35%; over 30 days.","HIPAA compliance required; no PHI in creative or targeting data. DACH market: double opt-in for email; no purchased lists."
"Skyloft Hotels NA - Lead Gen","Generate 12,793 MQLs at CPL under $203","Couples aged 18-54 with HHI $100K+, Canada (EU coverage)","Find out what Voyage&Co can do for your business.","digital","$69,000 excl. production","Apr 16, 2026 - 12 week flight","SQL conversion: baseline 2.1%, target 8.1%, over the campaign flight.","Do not reference unannounced roadmap items."
"FiberOne MENA - Seasonal Promo","Support the broader GTM motion","Single-line subscribers eligible for family-plan upgrade, Benelux (EU coverage)","Limited time: save big this Spring.","Display, Paid Search, SMS","$240,000 total","Aug 12, 2027 - 8 week flight","Incremental revenue: target $1,209,457, ROAS >= 4.2, over 60 days.","Do not run alongside sitewide free-shipping promo without finance sign-off. Adhere to brand voice guidelines v3.2; primary palette only. Subject lines under 50 characters; no emojis in B2B sends."
"FiberOne v5 - Cross-sell Drive","Build awareness and momentum","Prepaid customers aged 21-44 with 6+ months tenure, Benelux","You already love FiberOne. Here's the perfect companion.","performance marketing","$295,000","Apr 21, 2026 - 12 week flight","Attach rate: baseline 1.8%, target 14.4%, by end of quarter.","Use approved product photography only; lifestyle imagery requires brand review. Video assets capped at 15s for social, 30s for CTV."
